Case Origin,Type,Category,Sub-Category,Station,Date/Time Opened,Date/Time Closed,Age (Days)
Website,Complaint,Police,Lack of Presence - STA,M30 - Powell St. (SF),4/1/18 1:00,4/3/18 13:48,3
Website,Complaint,Police,Lack of Presence - STA,M30 - Powell St. (SF),4/1/18 1:00,4/3/18 13:45,3
Website,Complaint,Maintenance and Equipment,M&E Misc.,M60 - 24th St. Mission (SF),4/1/18 9:19,4/3/18 11:39,2
Website,Complaint,Police,Lack of Presence - Train,,4/1/18 12:59,4/3/18 11:34,2
Website,Complaint,Police,Lack of Presence - STA,C50 - Pleasant Hill/Contra Costa Centre,4/1/18 14:46,4/3/18 12:38,2
Website,Complaint,Policies,Security-Restroom Closure,M30 - Powell St. (SF),4/1/18 15:38,4/3/18 17:46,2
Website,Complaint,Maintenance and Equipment,M&E Misc.,L30 - Dublin/Pleasanton,4/1/18 15:57,4/3/18 17:54,2
Website,Complaint,Quality of Life,Mental Health,M10 - West Oakland,4/1/18 18:36,4/4/18 9:31,3
Website,Complaint,Quality of Life,Transient,C30 - Lafayette,4/2/18 7:31,4/2/18 11:48,0
Website,Complaint,Police,Police Misc.,,4/2/18 9:13,4/2/18 10:57,0
Website,Complaint,Quality of Life,Mental Health,M40 - Civic Center/UN Plaza (SF),4/2/18 10:39,4/2/18 10:39,0
Phone,Complaint,Maintenance and Equipment,M&E Misc.,M60 - 24th St. Mission (SF),4/2/18 11:42,4/3/18 13:53,1
Phone,Complaint,Service,Scheduling,C60 - Concord,4/2/18 11:53,4/4/18 10:02,2
Website,Complaint,Station Cleanliness,Grounds,A10 - Lake Merritt (Oakland),4/2/18 12:51,4/4/18 11:26,2
Website,Complaint,Police,Police Misc.,,4/2/18 12:58,4/4/18 11:53,2
Website,Complaint,Service,Crowded Trains,,4/2/18 15:28,4/3/18 14:14,1
Website,Complaint,Service,Crowded Trains,,4/2/18 15:34,4/9/18 16:48,7
Website,Complaint,Quality of Life,Quality of Life - Other,L30 - Dublin/Pleasanton,4/2/18 15:44,4/3/18 11:43,1
Website,Complaint,Maintenance and Equipment,TDS Signs Not Working,M40 - Civic Center/UN Plaza (SF),4/2/18 16:03,4/3/18 13:55,1
Website,Complaint,Service,Scheduling,M40 - Civic Center/UN Plaza (SF),4/2/18 17:04,4/9/18 9:58,7
Website,Complaint,Service,Delays,,4/2/18 17:19,4/9/18 10:01,7
Website,Complaint,Service,Crowded Trains,,4/2/18 17:35,4/3/18 12:35,1
Website,Complaint,Police,Lack of Presence - STA,,4/2/18 18:13,4/4/18 14:16,2
Website,Complaint,Station Cleanliness,Facilities Maintenance Misc.,M40 - Civic Center/UN Plaza (SF),4/2/18 18:46,4/3/18 12:50,1
Website,Complaint,Trains,Trains Misc.,S20 - Warm Springs,4/2/18 19:23,4/3/18 12:22,1
Website,Complaint,Parking,Restrictions/Enforcement,R50 - El Cerrito del Norte,4/2/18 19:41,4/3/18 13:01,1
Website,Complaint,Police,Lack of Presence - STA,M40 - Civic Center/UN Plaza (SF),4/2/18 20:46,4/3/18 10:47,1
Website,Complaint,Policies,Operations,C80 - Pittsburg/Bay Point,4/3/18 6:13,4/4/18 15:22,1
Website,Complaint,Station Cleanliness,Elevators,R60 - Richmond,4/3/18 6:26,4/3/18 10:19,0
Website,Complaint,Quality of Life,Quality of Life - Other,,4/3/18 7:57,4/3/18 10:16,0
Website,Complaint,Quality of Life,Quality of Life - Other,,4/3/18 7:58,4/3/18 10:15,0
Website,Complaint,Policies,Operations,,4/3/18 8:38,4/4/18 15:39,1
Website,Complaint,Train Cleanliness,Interior Car Cleanliness,,4/3/18 9:16,4/3/18 10:11,0
Website,Complaint,Policies,Marketing and Promotions,,4/3/18 9:43,4/4/18 16:12,1
Phone,Complaint,Station Cleanliness,Stairs,M20 - Montgomery St. (SF),4/3/18 10:24,4/3/18 10:29,0
Phone,Complaint,Maintenance and Equipment,Escalator,M40 - Civic Center/UN Plaza (SF),4/3/18 10:28,4/3/18 10:28,0
Website,Complaint,Policies,Lost & Found,K10 - 12th St. Oakland City Center,4/3/18 10:50,4/4/18 16:25,1
Website,Complaint,Maintenance and Equipment,Graffiti,M60 - 24th St. Mission (SF),4/3/18 11:52,4/3/18 12:43,0
Website,Complaint,Maintenance and Equipment,Escalator,M16 - Embarcadero (SF),4/3/18 14:37,4/4/18 17:09,1
Website,Complaint,Police,Fare Evasion,,4/3/18 14:49,4/4/18 18:15,1
Website,Complaint,Policies,Hot Topic,,4/3/18 14:51,4/9/18 10:08,6
Website,Complaint,Trains,Air Conditioning Inoperative,,4/3/18 15:23,4/4/18 9:53,1
Website,Complaint,Policies,Operations,M16 - Embarcadero (SF),4/3/18 15:43,4/9/18 10:20,6
Website,Complaint,Service,Service Misc.,,4/3/18 16:14,4/9/18 10:28,6
Website,Complaint,Maintenance and Equipment,Escalator,,4/3/18 16:27,4/9/18 16:50,6
Website,Complaint,Service,Scheduling,,4/3/18 16:30,4/9/18 16:58,6
Website,Complaint,Service,Scheduling,,4/3/18 16:36,4/9/18 17:08,6
Website,Complaint,Maintenance and Equipment,Escalator,M40 - Civic Center/UN Plaza (SF),4/3/18 16:45,4/9/18 17:28,6
Website,Complaint,Service,Scheduling,,4/3/18 16:46,4/9/18 17:34,6
Website,Complaint,Parking,Parking Misc.,R10 - Ashby (Berkeley),4/3/18 17:01,4/9/18 17:20,6
Website,Complaint,Service,Scheduling,,4/3/18 17:12,4/9/18 17:38,6
Website,Complaint,Police,Police Misc.,C50 - Pleasant Hill/Contra Costa Centre,4/3/18 17:25,4/9/18 17:43,6
Website,Complaint,Policies,Refunds,,4/3/18 18:17,4/4/18 16:18,1
Website,Complaint,Service,Scheduling,,4/3/18 18:26,4/9/18 17:58,6
