Month,2015,2016,2017,2018
January,"710,202","727,468","721,549","675,484"
February ,"721,172","852,894","732,823","703,198"
March,"761,647","727,215","722,922","688,274"
April ,"750,542","759,037","719,957","703,362"
May,"752,574","773,358","723,530","717,368"
June,"819,450","804,181","766,500","752,045"
July,"758,507","748,369","736,583","712,470"
August,"742,047","752,959","741,788","675,484"
September,"767,189","768,617","729,369","726,218"
October ,"799,312","780,793","741,167","732,134"
November,"758,530","757,278","714,598","660,505"
December,"735,574","749,491","700,083","666,412"
